Change Component Designator: OldDesignator=L? NewDesignator=L3
Added Pin To Net: NetName=GND Pin=U2-1
Added Pin To Net: NetName=GND Pin=U2-10
Added Pin To Net: NetName=GND Pin=U2-27
Added Pin To Net: NetName=GND Pin=U2-34
Added Pin To Net: NetName=GND Pin=U2-36
Added Pin To Net: NetName=GND Pin=U2-37
Added Pin To Net: NetName=GND Pin=U2-40
Added Pin To Net: NetName=GND Pin=U2-41
Added Pin To Net: NetName=GND Pin=U2-45
Added Pin To Net: NetName=GND Pin=U2-46
Added Pin To Net: NetName=GND Pin=U2-47
Added Pin To Net: NetName=GND Pin=U2-48
Added Pin To Net: NetName=GND Pin=U2-70
Added Pin To Net: NetName=GND Pin=U2-71
Added Pin To Net: NetName=GND Pin=U2-72
Added Pin To Net: NetName=GND Pin=U2-73
Added Pin To Net: NetName=GND Pin=U2-88
Added Pin To Net: NetName=GND Pin=U2-89
Added Pin To Net: NetName=GND Pin=U2-90
Added Pin To Net: NetName=GND Pin=U2-91
Added Pin To Net: NetName=GND Pin=U2-92
Added Pin To Net: NetName=GND Pin=U2-93
Added Pin To Net: NetName=GND Pin=U2-94
Added Pin To Net: NetName=GND Pin=U2-95
Added Room: Name=EG800K
